edition,edition_id,year,country,country_noc,gold,silver,bronze,total,Games,City,unique_event_count,unique_athlete_count,unique_male_count,unique_female_count,total_medals_noc_year,host_noc,is_host,is_host_int
1924 Winter Olympics,29,1924,Norway,NOR,4,7,6,17,1924 Winter,Chamonix,10.0,14.0,13.0,1.0,17.0,FRA,False,0
1924 Winter Olympics,29,1924,Belgium,BEL,0,0,1,1,1924 Winter,Chamonix,8.0,18.0,17.0,1.0,1.0,FRA,False,0
1924 Winter Olympics,29,1924,France,FRA,0,0,3,3,1924 Winter,Chamonix,16.0,43.0,41.0,2.0,3.0,FRA,True,1
1924 Winter Olympics,29,1924,Canada,CAN,1,0,0,1,1924 Winter,Chamonix,8.0,12.0,11.0,1.0,1.0,FRA,False,0
1924 Winter Olympics,29,1924,Sweden,SWE,1,1,0,2,1924 Winter,Chamonix,11.0,31.0,31.0,0.0,2.0,FRA,False,0
1924 Winter Olympics,29,1924,United States,USA,1,2,1,4,1924 Winter,Chamonix,11.0,24.0,22.0,2.0,4.0,FRA,False,0
1924 Winter Olympics,29,1924,Switzerland,SUI,2,0,1,3,1924 Winter,Chamonix,8.0,30.0,30.0,0.0,3.0,FRA,False,0
1924 Winter Olympics,29,1924,Austria,AUT,2,1,0,3,1924 Winter,Chamonix,3.0,4.0,2.0,2.0,3.0,FRA,False,0
1924 Winter Olympics,29,1924,Finland,FIN,4,4,3,11,1924 Winter,Chamonix,11.0,17.0,16.0,1.0,11.0,FRA,False,0
1924 Winter Olympics,29,1924,Great Britain,GBR,1,1,2,4,1924 Winter,Chamonix,10.0,44.0,41.0,3.0,5.0,FRA,False,0
1928 Winter Olympics,30,1928,Belgium,BEL,0,0,1,1,1928 Winter,Sankt Moritz,4.0,25.0,24.0,1.0,1.0,SUI,False,0
1928 Winter Olympics,30,1928,Switzerland,SUI,0,0,1,1,1928 Winter,Sankt Moritz,9.0,41.0,40.0,1.0,1.0,SUI,True,1
1928 Winter Olympics,30,1928,Great Britain,GBR,0,0,1,1,1928 Winter,Sankt Moritz,9.0,32.0,29.0,3.0,1.0,SUI,False,0
1928 Winter Olympics,30,1928,Germany,GER,0,0,1,1,1928 Winter,Sankt Moritz,12.0,44.0,39.0,5.0,1.0,SUI,False,0
1928 Winter Olympics,30,1928,Czechoslovakia,TCH,0,0,1,1,1928 Winter,Sankt Moritz,7.0,25.0,24.0,1.0,1.0,SUI,False,0
1928 Winter Olympics,30,1928,Austria,AUT,0,3,1,4,1928 Winter,Sankt Moritz,13.0,39.0,34.0,5.0,4.0,SUI,False,0
1928 Winter Olympics,30,1928,Sweden,SWE,2,2,1,5,1928 Winter,Sankt Moritz,10.0,24.0,24.0,0.0,5.0,SUI,False,0
1928 Winter Olympics,30,1928,Canada,CAN,1,0,0,1,1928 Winter,Sankt Moritz,10.0,23.0,20.0,3.0,1.0,SUI,False,0
1928 Winter Olympics,30,1928,Finland,FIN,2,1,1,4,1928 Winter,Sankt Moritz,10.0,18.0,17.0,1.0,4.0,SUI,False,0
1928 Winter Olympics,30,1928,United States,USA,2,2,2,6,1928 Winter,Sankt Moritz,12.0,24.0,21.0,3.0,6.0,SUI,False,0
1928 Winter Olympics,30,1928,Norway,NOR,6,4,5,15,1928 Winter,Sankt Moritz,9.0,25.0,22.0,3.0,15.0,SUI,False,0
1928 Winter Olympics,30,1928,France,FRA,1,0,0,1,1928 Winter,Sankt Moritz,13.0,38.0,36.0,2.0,1.0,SUI,False,0
1932 Winter Olympics,31,1932,France,FRA,1,0,0,1,1932 Winter,Lake Placid,3.0,8.0,7.0,1.0,1.0,USA,False,0
1932 Winter Olympics,31,1932,Hungary,HUN,0,0,1,1,1932 Winter,Lake Placid,1.0,4.0,2.0,2.0,1.0,USA,False,0
1932 Winter Olympics,31,1932,Germany,GER,0,0,2,2,1932 Winter,Lake Placid,4.0,20.0,20.0,0.0,2.0,USA,False,0
1932 Winter Olympics,31,1932,Switzerland,SUI,0,1,0,1,1932 Winter,Lake Placid,4.0,7.0,7.0,0.0,1.0,USA,False,0
1932 Winter Olympics,31,1932,Austria,AUT,1,1,0,2,1932 Winter,Lake Placid,6.0,7.0,6.0,1.0,2.0,USA,False,0
1932 Winter Olympics,31,1932,Norway,NOR,3,4,3,10,1932 Winter,Lake Placid,9.0,19.0,18.0,1.0,10.0,USA,False,0
1932 Winter Olympics,31,1932,Canada,CAN,1,1,5,7,1932 Winter,Lake Placid,12.0,42.0,38.0,4.0,7.0,USA,False,0
